question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,three_way_core_score,final_calibrated_score,single_diff,avg_diff,selected_diff,core_diff,final_diff,single_abs_error,avg_abs_error,selected_abs_error,core_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,core_gain_vs_avg,residual_gain_vs_core,final_gain_vs_avg,final_gain_vs_single,route,sequential_outcome,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action,score_calibration_applied,score_calibration_correction,score_calibration_reason,score_calibration_lookup
CO_4,ANS_CO_646,6.0,3.0,3.0,3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.55,0.5,0.0,0.5,0.333333,0.666667,keep_baseline,False,1.8714,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_645,10.0,9.5,9.8,9.8,9.8,11.67,-0.5,-0.2,-0.2,-0.2,1.67,0.5,0.2,0.2,0.2,1.67,0.3,0.0,-1.47,0.0,-1.47,-1.47,-1.17,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2357,0.18,0.2625,0.125,0.320833,0.236111,0.763889,keep_baseline,True,1.8714,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_652,16.0,20.0,19.3,19.3,19.3,20.0,4.0,3.3,3.3,3.3,4.0,4.0,3.3,3.3,3.3,4.0,0.7,0.0,-0.7,0.0,-0.7,-0.7,0.0,BND,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.0,0.0625,0.25,0.120833,0.144444,0.855556,keep_baseline,True,0.7,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_653,8.0,6.0,6.9,6.9,7.9,9.77,-2.0,-1.1,-1.1,-0.1,1.77,2.0,1.1,1.1,0.1,1.77,0.9,0.0,-0.67,1.0,-1.67,-0.67,0.23,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.6976,0.36,0.375,0.425,0.491667,0.430556,0.569444,accept_structured_raise,True,1.8714,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_656,11.0,8.0,8.0,8.0,8.0,9.87,-3.0,-3.0,-3.0,-3.0,-1.13,3.0,3.0,3.0,3.0,1.13,0.0,0.0,1.87,0.0,1.87,1.87,1.87,BND,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.18,0.175,0.0,0.175,0.116667,0.883333,keep_baseline,True,1.8714,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_659,20.0,17.75,17.5,17.5,17.5,18.34,-2.25,-2.5,-2.5,-2.5,-1.66,2.25,2.5,2.5,2.5,1.66,-0.25,0.0,0.84,0.0,0.84,0.84,0.59,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.25,0.0,0.0,0.125,0.0625,0.0625,0.9375,,True,0.8447,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_663,8.0,4.5,4.8,4.8,4.8,6.67,-3.5,-3.2,-3.2,-3.2,-1.33,3.5,3.2,3.2,3.2,1.33,0.3,0.0,1.87,0.0,1.87,1.87,2.17,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.25,0.27,0.3,0.125,0.3625,0.2625,0.7375,keep_baseline,True,1.8714,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_662,14.0,15.5,15.5,15.5,15.5,16.34,1.5,1.5,1.5,1.5,2.34,1.5,1.5,1.5,1.5,2.34,0.0,0.0,-0.84,0.0,-0.84,-0.84,-0.84,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0625,0.020833,0.979167,,True,0.8447,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_664,15.0,8.5,8.5,8.5,9.0,10.87,-6.5,-6.5,-6.5,-6.0,-4.13,6.5,6.5,6.5,6.0,4.13,0.0,0.0,2.37,0.5,1.87,2.37,2.37,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.2247,0.09,0.1,0.75,0.325,0.391667,0.608333,accept_structured_raise,True,1.8714,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_665,6.0,6.15,5.6,5.6,5.6,5.6,0.15,-0.4,-0.4,-0.4,-0.4,0.15,0.4,0.4,0.4,0.4,-0.25,0.0,0.0,0.0,0.0,0.0,-0.25,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.575,0.0,0.0,0.2875,0.2,0.1625,0.8375,keep_baseline,False,1.8714,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_666,15.0,6.5,6.6,6.6,6.6,6.6,-8.5,-8.4,-8.4,-8.4,-8.4,8.5,8.4,8.4,8.4,8.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.125,0.09,0.1625,0.0625,0.19375,0.139583,0.860417,keep_baseline,False,1.8714,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_667,14.0,10.75,10.8,10.8,10.8,10.8,-3.25,-3.2,-3.2,-3.2,-3.2,3.25,3.2,3.2,3.2,3.2,0.05,0.0,0.0,0.0,0.0,0.0,0.05,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.18,0.25,0.0,0.25,0.166667,0.833333,keep_baseline,False,1.8714,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_668,20.0,18.25,18.9,18.9,18.9,20.0,-1.75,-1.1,-1.1,-1.1,0.0,1.75,1.1,1.1,1.1,0.0,0.65,0.0,1.1,0.0,1.1,1.1,1.75,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.0,0.0,0.25,0.133333,0.127778,0.872222,keep_baseline,True,1.1,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_670,18.0,10.0,11.4,11.4,11.4,13.27,-8.0,-6.6,-6.6,-6.6,-4.73,8.0,6.6,6.6,6.6,4.73,1.4,0.0,1.87,0.0,1.87,1.87,3.27,BND,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.4,0.0,0.0,0.7,0.15,0.283333,0.716667,,True,1.8714,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_672,19.0,16.5,16.5,16.5,16.5,17.34,-2.5,-2.5,-2.5,-2.5,-1.66,2.5,2.5,2.5,2.5,1.66,0.0,0.0,0.84,0.0,0.84,0.84,0.84,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,True,0.8447,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_673,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.0,0.0625,0.0,0.0625,0.041667,0.958333,,False,0.0,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_675,20.0,18.75,19.6,19.6,19.6,20.0,-1.25,-0.4,-0.4,-0.4,0.0,1.25,0.4,0.4,0.4,0.0,0.85,0.0,0.4,0.0,0.4,0.4,1.25,BND,defer_human,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.1785,0.0,0.0,0.625,0.041667,0.222222,0.777778,keep_baseline,True,0.4,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_678,9.0,10.0,10.3,10.3,10.3,10.3,1.0,1.3,1.3,1.3,1.3,1.0,1.3,1.3,1.3,1.3,-0.3,0.0,0.0,0.0,0.0,0.0,-0.3,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.0,0.0,0.25,0.108333,0.119444,0.880556,keep_baseline,False,1.8714,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_679,14.0,10.5,10.3,10.3,10.3,10.3,-3.5,-3.7,-3.7,-3.7,-3.7,3.5,3.7,3.7,3.7,3.7,-0.2,0.0,0.0,0.0,0.0,0.0,-0.2,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2357,0.27,0.35,0.125,0.4,0.291667,0.708333,keep_baseline,False,1.8714,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_681,17.0,16.75,16.9,16.9,16.9,17.74,-0.25,-0.1,-0.1,-0.1,0.74,0.25,0.1,0.1,0.1,0.74,0.15,0.0,-0.64,0.0,-0.64,-0.64,-0.49,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2357,0.0,0.0,0.125,0.041667,0.055556,0.944444,,True,0.8447,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_683,15.0,12.0,11.7,11.7,11.7,11.7,-3.0,-3.3,-3.3,-3.3,-3.3,3.0,3.3,3.3,3.3,3.3,-0.3,0.0,0.0,0.0,0.0,0.0,-0.3,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.18,0.25,0.25,0.391667,0.297222,0.702778,keep_baseline,False,1.8714,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_688,7.0,5.5,5.5,5.5,5.5,7.37,-1.5,-1.5,-1.5,-1.5,0.37,1.5,1.5,1.5,1.5,0.37,0.0,0.0,1.13,0.0,1.13,1.13,1.13,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.45,0.5,0.0,0.5,0.333333,0.666667,keep_baseline,True,1.8714,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_685,8.0,2.0,2.5,2.5,2.5,2.5,-6.0,-5.5,-5.5,-5.5,-5.5,6.0,5.5,5.5,5.5,5.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,BND,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.5,0.55,0.55,0.25,0.625,0.475,0.525,keep_baseline,False,1.8714,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_689,18.0,16.0,16.1,16.1,16.1,16.94,-2.0,-1.9,-1.9,-1.9,-1.06,2.0,1.9,1.9,1.9,1.06,0.1,0.0,0.84,0.0,0.84,0.84,0.94,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.125,0.0,0.0,0.0625,0.05,0.0375,0.9625,,True,0.8447,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_695,19.0,10.0,10.3,10.3,10.8,10.8,-9.0,-8.7,-8.7,-8.2,-8.2,9.0,8.7,8.7,8.2,8.2,0.3,0.0,0.5,0.5,0.0,0.5,0.8,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.27,0.25,0.25,0.325,0.275,0.725,accept_structured_raise,False,1.8714,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_692,15.0,16.75,16.5,16.5,16.5,18.37,1.75,1.5,1.5,1.5,3.37,1.75,1.5,1.5,1.5,3.37,0.25,0.0,-1.87,0.0,-1.87,-1.87,-1.62,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.5401,0.0,0.0,0.3125,0.1,0.1375,0.8625,keep_baseline,True,1.8714,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_697,14.0,10.0,9.8,9.8,10.3,12.17,-4.0,-4.2,-4.2,-3.7,-1.83,4.0,4.2,4.2,3.7,1.83,-0.2,0.0,2.37,0.5,1.87,2.37,2.17,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2357,0.18,0.25,0.125,0.266667,0.213889,0.786111,accept_structured_raise,True,1.8714,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,1.0,1.0,0.0,1.0,0.666667,0.333333,keep_baseline,False,1.8714,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_698,11.0,3.5,3.7,3.7,3.7,5.57,-7.5,-7.3,-7.3,-7.3,-5.43,7.5,7.3,7.3,7.3,5.43,0.2,0.0,1.87,0.0,1.87,1.87,2.07,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2357,0.18,0.2,0.125,0.2,0.175,0.825,keep_baseline,True,1.8714,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_703,11.0,8.5,8.7,8.7,8.7,9.54,-2.5,-2.3,-2.3,-2.3,-1.46,2.5,2.3,2.3,2.3,1.46,0.2,0.0,0.84,0.0,0.84,0.84,1.04,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2357,0.0,0.0,0.125,0.05,0.058333,0.941667,,True,0.8447,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_704,5.0,1.0,1.0,1.0,1.0,2.87,-4.0,-4.0,-4.0,-4.0,-2.13,4.0,4.0,4.0,4.0,2.13,0.0,0.0,1.87,0.0,1.87,1.87,1.87,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.82,0.9,0.0,0.9,0.6,0.4,keep_baseline,True,1.8714,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_708,9.0,10.0,10.0,10.0,10.0,11.87,1.0,1.0,1.0,1.0,2.87,1.0,1.0,1.0,1.0,2.87,0.0,0.0,-1.87,0.0,-1.87,-1.87,-1.87,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.45,0.5,0.0,0.533333,0.344444,0.655556,keep_baseline,True,1.8714,validation_route_score_band_correction,route:BND
