"Threshold","Flagged","MaxExtraReviewPct","OvercreditRecallPct","OvercreditPrecisionPct","SafeFalsePositivePct","UndercreditCollateralPct"
"0","53","20.78","58.82","18.87","17.24","19.35"
"0.0175","52","20.39","58.82","19.23","16.55","19.35"
"0.0208","51","20","58.82","19.61","15.86","19.35"
"0.0333","50","19.61","52.94","18","15.86","19.35"
"0.037","49","19.22","52.94","18.37","15.86","18.28"
"0.0417","48","18.82","52.94","18.75","15.86","17.2"
"0.05","46","18.04","47.06","17.39","15.86","16.13"
"0.0625","45","17.65","47.06","17.78","15.86","15.05"
"0.0667","44","17.25","47.06","18.18","15.17","15.05"
"0.0833","43","16.86","47.06","18.6","14.48","15.05"
"0.1","42","16.47","47.06","19.05","13.79","15.05"
"0.1111","38","14.9","47.06","21.05","13.1","11.83"
"0.125","36","14.12","47.06","22.22","12.41","10.75"
"0.1667","34","13.33","47.06","23.53","12.41","8.6"
"0.1875","31","12.16","41.18","22.58","11.03","8.6"
"0.195","30","11.76","41.18","23.33","11.03","7.53"
"0.2","27","10.59","23.53","14.81","11.03","7.53"
"0.2083","25","9.8","23.53","16","10.34","6.45"
"0.25","23","9.02","23.53","17.39","10.34","4.3"
"0.2593","22","8.63","23.53","18.18","10.34","3.23"
"0.2652","21","8.24","23.53","19.05","10.34","2.15"
"0.2963","20","7.84","23.53","20","9.66","2.15"
"0.3333","17","6.67","11.76","11.76","8.97","2.15"
"0.3667","16","6.27","5.88","6.25","8.97","2.15"
"0.4","13","5.1","0","0","7.59","2.15"
"0.5","4","1.57","0","0","1.38","2.15"
"0.5185","2","0.78","0","0","0.69","1.08"
"0.6667","1","0.39","0","0","0.69","0"
