heldout_question,train_question_count,train_n,heldout_n,selected_rule,selected_threshold,train_feasible,train_bnd_ratio,train_unsafe_pos_rate,heldout_pos_n,heldout_unsafe_pos_n
CO_1,30,242,13,current_mean,0.238889,False,0.5909090909090908,0.29292929292929293,12,1
CO_10,30,245,10,current_mean,0.21111100000000002,False,0.5959183673469388,0.24242424242424243,2,2
CO_11,30,245,10,current_mean,0.20833333333333334,False,0.5959183673469388,0.25252525252525254,0,0
CO_12,30,241,14,current_mean,0.20833333333333334,False,0.5975103734439834,0.25773195876288657,2,0
CO_13,30,242,13,current_mean,0.21111133333333335,False,0.5909090909090908,0.24242424242424243,3,2
CO_2,30,245,10,current_mean,0.20833333333333334,False,0.6,0.25510204081632654,1,0
CO_3,30,245,10,current_mean,0.21111133333333335,False,0.5959183673469388,0.25252525252525254,3,1
CO_4,30,246,9,current_mean,0.222222,False,0.5934959349593496,0.28,4,0
CO_5,30,244,11,current_mean,0.21111133333333335,False,0.5983606557377049,0.25510204081632654,4,1
CO_6,30,249,6,current_mean,0.21111133333333335,False,0.5943775100401607,0.24752475247524752,1,1
CO_7,30,249,6,current_mean,0.222222,False,0.5943775100401607,0.26732673267326734,3,1
CO_8,30,240,15,current_mean,0.222222,False,0.5958333333333333,0.27835051546391754,7,1
CPL_2,30,249,6,current_mean,0.238889,False,0.5783132530120482,0.2857142857142857,6,0
CPL_4,30,249,6,current_mean,0.222222,False,0.5943775100401607,0.26732673267326734,3,1
CPL_6,30,249,6,current_mean,0.238889,False,0.5783132530120482,0.2857142857142857,6,0
CPL_7,30,249,6,current_mean,0.222222,False,0.5943775100401607,0.25742574257425743,3,2
CPL_8,30,249,6,current_mean,0.21111133333333335,False,0.5943775100401607,0.24752475247524752,1,1
DM_1,30,246,9,current_mean,0.238889,False,0.5772357723577235,0.28846153846153844,7,0
DM_2,30,246,9,current_mean,0.222222,False,0.5975609756097561,0.2727272727272727,5,1
DM_3,30,246,9,current_mean,0.21111133333333335,False,0.5975609756097561,0.25252525252525254,3,1
ISC_2,30,248,7,current_mean,0.238889,False,0.5725806451612903,0.27358490566037735,5,1
ISC_3,30,248,7,current_mean,0.21111133333333335,False,0.592741935483871,0.24752475247524752,1,1
ISC_4,30,248,7,current_mean,0.238889,False,0.5766129032258065,0.2857142857142857,6,0
ISC_5,30,250,5,current_mean,0.21111133333333335,False,0.596,0.25742574257425743,1,0
ISC_6,30,248,7,current_mean,0.222222,False,0.592741935483871,0.25742574257425743,3,2
ISC_9,30,247,8,current_mean,0.21111133333333335,False,0.5951417004048583,0.25,2,1
ML_1,30,249,6,current_mean,0.21111133333333335,False,0.5983935742971888,0.24,2,2
ML_2,30,249,6,current_mean,0.21111133333333335,False,0.5903614457831325,0.2549019607843137,0,0
ML_4,30,249,6,current_mean,0.21111133333333335,False,0.5983935742971888,0.24,2,2
POC_3,30,249,6,current_mean,0.222222,False,0.5943775100401607,0.26732673267326734,3,1
POC_5,30,249,6,current_mean,0.21111133333333335,False,0.5903614457831325,0.2549019607843137,0,0
