heldout_question,outer_train_n,heldout_n,inner_threshold,inner_feasible,inner_bnd_ratio,inner_unsafe_pos_rate,heldout_pos_n,heldout_unsafe_pos_n
CO_1,242,13,0.5233849746347494,False,0.5991735537190083,0.35051546391752575,8,0
CO_10,245,10,0.5130630760339101,False,0.6,0.30612244897959184,3,2
CO_11,245,10,0.5198218979602399,False,0.5959183673469388,0.31313131313131315,2,0
CO_12,241,14,0.5328968184729997,False,0.5933609958506224,0.30612244897959184,2,1
CO_13,242,13,0.511600686125591,False,0.5991735537190083,0.31958762886597936,4,2
CO_2,245,10,0.5199257671844825,False,0.5836734693877551,0.3137254901960784,2,0
CO_3,245,10,0.5198983095430775,False,0.5959183673469388,0.2828282828282828,2,1
CO_4,246,9,0.5357366266890177,False,0.5813008130081301,0.33980582524271846,3,1
CO_5,244,11,0.5189657034009576,False,0.5942622950819672,0.31313131313131315,6,3
CO_6,249,6,0.5313735716731044,False,0.5622489959839357,0.3119266055045872,0,0
CO_7,249,6,0.5236705094491757,False,0.5943775100401607,0.3069306930693069,3,1
CO_8,240,15,0.5311605174517908,False,0.5916666666666667,0.30612244897959184,11,4
CPL_2,249,6,0.5302020984079316,False,0.5863453815261044,0.34951456310679613,6,0
CPL_4,249,6,0.5293963412980877,False,0.5943775100401607,0.31683168316831684,3,1
CPL_6,249,6,0.522283622741245,False,0.5983935742971888,0.34,5,0
CPL_7,249,6,0.5197314242964564,False,0.5983935742971888,0.3,3,2
CPL_8,249,6,0.5131814634174502,False,0.5983935742971888,0.33,1,1
DM_1,246,9,0.5304772925017056,False,0.5975609756097561,0.3333333333333333,8,0
DM_2,246,9,0.5135374556028578,False,0.5975609756097561,0.3333333333333333,5,1
DM_3,246,9,0.5104292447387351,False,0.5934959349593496,0.31,2,0
ISC_2,248,7,0.5501662266258489,False,0.5483870967741935,0.32142857142857145,3,2
ISC_3,248,7,0.5233903500621029,False,0.5967741935483871,0.3,2,2
ISC_4,248,7,0.5357863520945018,False,0.5967741935483871,0.35,6,0
ISC_5,250,5,0.5187923041953102,False,0.6,0.32,1,0
ISC_6,248,7,0.5131850401972955,False,0.592741935483871,0.297029702970297,3,3
ISC_9,247,8,0.5232814163513817,False,0.5991902834008097,0.2828282828282828,1,1
ML_1,249,6,0.5249766612372007,False,0.5983935742971888,0.3,1,1
ML_2,249,6,0.5135981218398765,False,0.5903614457831325,0.3137254901960784,0,0
ML_4,249,6,0.5271856756550316,False,0.5903614457831325,0.30392156862745096,1,1
POC_3,249,6,0.5217030082372507,False,0.5983935742971888,0.31,3,1
POC_5,249,6,0.5294086145821051,False,0.5863453815261044,0.2815533980582524,2,2
